Account Statement for ... since 7/22/26 through 7/23/26
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/22/26,13:00:00,BAL,,Cash balance at the start of business day 22.07 CST,,,,37874.49
7/22/26,22:05:03,TRD,="1007282977844",BOT +100 SPY @749.0341,,,-74903.41,-37028.92
7/22/26,22:05:38,TRD,="1007283460009",SOLD -100 SPY @749.31,-1.56,,74931.00,37900.52
7/22/26,22:23:03,TRD,="1007284327202",BOT +100 SPY @747.71,,,-74771.00,-36870.48
7/22/26,22:26:57,TRD,="1007284327953",SOLD -100 SPY @747.32,-1.56,,74732.00,37859.96
7/22/26,22:29:55,TRD,="1007284860587",SOLD -100 SPY @747.25,-1.56,,74725.00,112583.40
7/22/26,22:46:37,TRD,="1007285820613",BOT +100 SPY @747.435,,,-74743.50,37839.90
7/22/26,22:52:36,TRD,="1007286266060",SOLD -100 SPY @747.285,-1.56,,74728.50,112566.84
7/22/26,22:55:36,TRD,="1007286267076",BOT +20 SPY @747.20,,,-14944.00,97622.84
7/22/26,22:55:36,TRD,="1007286267076",BOT +27 SPY @747.20,,,-20174.40,77448.44
7/22/26,22:55:36,TRD,="1007286267076",BOT +53 SPY @747.2091,,,-39602.08,37846.36
7/22/26,22:56:42,TRD,="1007286267411",SOLD -100 SPY @747.435,-1.56,,74743.50,112588.30
7/22/26,23:07:13,TRD,="1007286942413",SOLD -90 SPY @748.4838,-1.41,,67363.54,179950.43
7/22/26,23:07:13,TRD,="1007286942413",SOLD -10 SPY @748.4838,-0.15,,7484.84,187435.12
7/22/26,23:18:47,TRD,="1007287399168",BOT +100 SPY @748.62,,,-74862.00,112573.12
7/22/26,23:28:15,TRD,="1007287827105",SOLD -100 SPY @749.58,-1.56,,74958.00,187529.56
7/22/26,23:29:59,TRD,="1007287827427",BOT +100 SPY @749.4296,,,-74942.96,112586.60
7/22/26,23:44:18,TRD,="1007288794111",BOT +100 SPY @748.98,,,-74898.00,37688.60
7/22/26,23:46:14,TRD,="1007288794746",BOT +100 SPY @749.32,,,-74932.00,-37243.40
7/22/26,23:50:39,TRD,="1007288795414",SOLD -100 SPY @749.3635,-1.56,,74936.35,37691.39
7/22/26,23:56:23,TRD,="1007289200651",SOLD -100 SPY @749.32,-1.56,,74932.00,112621.83
7/22/26,23:58:15,TRD,="1007289201053",BOT +100 SPY @749.4328,,,-74943.28,37678.55
7/23/26,00:42:57,TRD,="1007290813271",SOLD -100 SPY @749.71,-1.56,,74971.00,112647.99
7/23/26,00:55:52,TRD,="1007291376650",BOT +100 SPY @749.79,,,-74979.00,37668.99
7/23/26,13:00:00,BAL,,Cash balance at the start of business day 23.07 CST,,,,37896.72
7/23/26,21:53:11,TRD,="1007301388856",SOLD -100 SPY @740.05,-1.54,,74005.00,111900.18
7/23/26,22:00:09,TRD,="1007301735647",BOT +100 SPY @739.87,,,-73987.00,37913.18
7/23/26,22:00:49,TRD,="1007301735924",BOT +100 SPY @740.585,,,-74058.50,-36145.32
7/23/26,22:02:42,TRD,="1007302110704",SOLD -100 SPY @739.925,-1.54,,73992.50,37845.64
7/23/26,22:22:03,TRD,="1007303155550",BOT +100 SPY @740.065,,,-74006.50,-36160.86
7/23/26,22:24:47,TRD,="1007303522470",BOT +100 SPY @739.455,,,-73945.50,-110106.36
7/23/26,22:30:01,TRD,="1007303900037",SOLD -100 SPY @739.835,-1.54,,73983.50,-36124.40
7/23/26,22:34:03,TRD,="1007303901317",SOLD -100 SPY @738.8301,-1.54,,73883.01,37757.07
7/23/26,22:38:24,TRD,="1007304264725",SOLD -100 SPY @739.6812,-1.54,,73968.12,111723.65
7/23/26,22:40:02,TRD,="1007304265224",SOLD -100 SPY @740.315,-1.55,,74031.50,185753.60
7/23/26,22:42:11,TRD,="1007304265951",BOT +100 SPY @739.48,,,-73948.00,111805.60
7/23/26,22:42:44,TRD,="1007304632139",BOT +100 SPY @739.0328,,,-73903.28,37902.32
7/23/26,23:14:25,TRD,="1007306292128",BOT +100 SPY @736.47,,,-73647.00,-35744.68
7/23/26,23:19:48,TRD,="1007306292957",SOLD -100 SPY @737.1906,-1.54,,73719.06,37972.84
7/23/26,23:35:16,TRD,="1007307346090",BOT +100 SPY @736.55,,,-73655.00,-35682.16
7/23/26,23:38:52,TRD,="1007307346771",SOLD -100 SPY @737.265,-1.54,,73726.50,38042.80
