Account Statement for ... since 7/27/26 through 7/28/26
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/27/26,13:00:00,BAL,,Cash balance at the start of business day 27.07 CST,,,,37837.30
7/27/26,21:46:04,TRD,="1007338244616",BOT +60 SPY @744.0399,,,-44642.39,-6805.09
7/27/26,21:46:04,TRD,="1007338244616",BOT +40 SPY @744.0399,,,-29761.60,-36566.69
7/27/26,21:50:54,TRD,="1007338245623",SOLD -100 SPY @743.9403,-1.55,,74394.03,37825.79
7/27/26,21:54:12,TRD,="1007339064067",BOT +100 SPY @743.698,,,-74369.80,-36544.01
7/27/26,21:58:30,TRD,="1007339064815",SOLD -100 SPY @742.3242,-1.55,,74232.42,37686.86
7/27/26,21:59:02,TRD,="1007339064921",BOT +100 SPY @741.91,,,-74191.00,-36504.14
7/27/26,22:15:56,TRD,="1007340320782",BOT +100 SPY @741.0477,,,-74104.77,-110608.91
7/27/26,22:31:57,TRD,="1007341430211",BOT +100 SPY @738.195,,,-73819.50,-184428.41
7/28/26,01:18:08,TRD,="1007348390878",SOLD -100 SPY @736.0108,-1.54,,73601.08,-110828.87
7/28/26,01:18:19,TRD,="1007348390904",SOLD -100 SPY @735.95,-1.54,,73595.00,-37235.41
7/28/26,01:18:33,TRD,="1007348390934",SOLD -100 SPY @735.89,-1.54,,73589.00,36352.05
