Cash Balance
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance
7/24/26,7/24/26,21:44:59,TRD,1007319011717,BOT +100 SPY @738.825,,,-73882.50,-36191.28
7/24/26,7/24/26,21:48:09,TRD,1007319714117,SOLD -100 SPY @739.59,-1.54,,73959.00,37766.18
7/24/26,7/24/26,21:49:51,TRD,1007319714715,BOT +100 SPY @739.70,,,-73970.00,-36203.82
7/24/26,7/24/26,21:57:49,TRD,1007320460144,SOLD -100 SPY @737.8356,-1.54,,73783.56,37578.20
7/24/26,7/24/26,21:59:02,TRD,1007320460397,BOT +33 SPY @737.965,,,-24352.85,13225.35
7/24/26,7/24/26,21:59:03,TRD,1007320460397,BOT +2 SPY @737.965,,,-1475.93,11749.42
7/24/26,7/24/26,21:59:03,TRD,1007320460397,BOT +65 SPY @737.965,,,-47967.72,-36218.30
7/24/26,7/24/26,22:11:26,TRD,1007321214415,SOLD -100 SPY @739.38,-1.54,,73938.00,37718.16
7/24/26,7/24/26,22:17:08,TRD,1007321215226,BOT +100 SPY @738.82,,,-73882.00,-36163.84
7/24/26,7/24/26,22:29:41,TRD,1007322096856,SOLD -100 SPY @739.4614,-1.54,,73946.14,37780.76
7/24/26,7/24/26,22:34:32,TRD,1007322097651,BOT +100 SPY @738.6999,,,-73869.99,-36089.23
7/24/26,7/24/26,22:45:56,TRD,1007322862958,SOLD -100 SPY @737.625,-1.54,,73762.50,37671.73
7/24/26,7/24/26,22:47:29,TRD,1007322863273,SOLD -100 SPY @738.0432,-1.54,,73804.32,111474.51
7/24/26,7/24/26,22:48:07,TRD,1007322863386,BOT +100 SPY @737.749,,,-73774.90,37699.61
7/24/26,7/24/26,22:49:06,TRD,1007322863536,BOT +100 SPY @737.972,,,-73797.20,-36097.59
7/24/26,7/24/26,22:49:46,TRD,1007322863681,SOLD -100 SPY @738.4862,-1.54,,73848.62,37749.49
7/27/26,7/27/26,21:46:04,TRD,1007338244616,BOT +60 SPY @744.0399,,,-44642.39,-6892.90
7/27/26,7/27/26,21:46:04,TRD,1007338244616,BOT +40 SPY @744.0399,,,-29761.60,-36654.50
7/27/26,7/27/26,21:50:54,TRD,1007338245623,SOLD -100 SPY @743.9403,-1.55,,74394.03,37737.98
7/27/26,7/27/26,21:54:12,TRD,1007339064067,BOT +100 SPY @743.698,,,-74369.80,-36631.82
7/27/26,7/27/26,21:58:30,TRD,1007339064815,SOLD -100 SPY @742.3242,-1.55,,74232.42,37599.05
7/27/26,7/27/26,21:59:02,TRD,1007339064921,BOT +100 SPY @741.91,,,-74191.00,-36591.95
7/27/26,7/27/26,22:15:56,TRD,1007340320782,BOT +100 SPY @741.0477,,,-74104.77,-110696.72
7/27/26,7/27/26,22:31:57,TRD,1007341430211,BOT +100 SPY @738.195,,,-73819.50,-184516.22
7/27/26,7/28/26,01:18:08,TRD,1007348390878,SOLD -100 SPY @736.0108,-1.54,,73601.08,-110916.68
7/27/26,7/28/26,01:18:19,TRD,1007348390904,SOLD -100 SPY @735.95,-1.54,,73595.00,-37323.22
7/27/26,7/28/26,01:18:33,TRD,1007348390934,SOLD -100 SPY @735.89,-1.54,,73589.00,36264.24
7/28/26,7/28/26,21:34:04,TRD,1007355276875,BOT +49 SPY @738.43,,,-36183.07,1712.50
7/28/26,7/28/26,21:34:04,TRD,1007355276875,BOT +17 SPY @738.43,,,-12553.31,-10840.81
7/28/26,7/28/26,21:34:04,TRD,1007355276875,BOT +34 SPY @738.4399,,,-25106.96,-35947.77
7/28/26,7/28/26,21:38:23,TRD,1007355277684,SOLD -100 SPY @738.295,-1.54,,73829.50,37880.19
7/28/26,7/28/26,21:42:13,TRD,1007356182407,BOT +100 SPY @737.725,,,-73772.50,-35892.31
7/28/26,7/28/26,21:46:09,TRD,1007356183144,SOLD -100 SPY @736.4102,-1.54,,73641.02,37747.17
7/28/26,7/28/26,21:51:35,TRD,1007356996326,BOT +2 SPY @737.38,,,-1474.76,36272.41
7/28/26,7/28/26,21:51:35,TRD,1007356996326,BOT +58 SPY @737.38,,,-42768.04,-6495.63
7/28/26,7/28/26,21:51:35,TRD,1007356996326,BOT +40 SPY @737.389,,,-29495.56,-35991.19
7/28/26,7/28/26,21:59:48,TRD,1007357606023,BOT +100 SPY @736.525,,,-73652.50,-109643.69
7/28/26,7/28/26,22:00:52,TRD,1007357606216,SOLD -100 SPY @737.3145,-1.54,,73731.45,-35913.78
7/28/26,7/28/26,22:09:17,TRD,1007357607542,BOT +20 SPY @737.43,,,-14748.60,-50662.38
7/28/26,7/28/26,22:09:17,TRD,1007357607542,BOT +4 SPY @737.439,,,-2949.76,-53612.14
7/28/26,7/28/26,22:09:17,TRD,1007357607542,BOT +76 SPY @737.4399,,,-56045.43,-109657.57
7/28/26,7/28/26,22:12:16,TRD,1007358442022,SOLD -100 SPY @737.366,-1.54,,73736.60,-35922.51
7/28/26,7/28/26,22:19:59,TRD,1007358443090,SOLD -100 SPY @736.6051,-1.54,,73660.51,37736.46
7/28/26,7/28/26,22:20:50,TRD,1007358443182,BOT +100 SPY @736.69,,,-73669.00,-35932.54
7/28/26,7/28/26,22:24:02,TRD,1007358443677,SOLD -100 SPY @737.7805,-1.54,,73778.05,37843.97
7/28/26,7/28/26,22:28:39,TRD,1007359320321,BOT +40 SPY @737.5099,,,-29500.40,8343.57
7/28/26,7/28/26,22:28:39,TRD,1007359320321,BOT +60 SPY @737.5099,,,-44250.59,-35907.02
7/28/26,7/28/26,22:41:08,TRD,1007359321862,BOT +100 SPY @737.965,,,-73796.50,-109703.52
7/28/26,7/28/26,22:41:56,TRD,1007359321960,SOLD -100 SPY @738.34,-1.54,,73834.00,-35871.06
7/28/26,7/28/26,23:05:59,TRD,1007361374167,BOT +100 SPY @738.305,,,-73830.50,-109701.56
7/28/26,7/28/26,23:12:04,TRD,1007361374713,SOLD -100 SPY @738.79,-1.54,,73879.00,-35824.10
7/28/26,7/28/26,23:57:17,TRD,1007363554530,SOLD -100 SPY @742.095,-1.55,,74209.50,38383.85
7/28/26,7/28/26,23:57:47,TRD,1007363554553,BOT +100 SPY @742.1897,,,-74218.97,-35835.12
7/28/26,7/28/26,23:59:07,TRD,1007363554635,SOLD -100 SPY @742.19,-1.55,,74219.00,38382.33
7/28/26,7/29/26,00:34:19,TRD,1007364649172,BOT +100 SPY @741.32,,,-74132.00,-35749.67
7/28/26,7/29/26,00:35:16,TRD,1007364649270,SOLD -100 SPY @741.2313,-1.55,,74123.13,38371.91
