Account Statement for ... since 7/29/26 through 7/30/26,,,,,,,,
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/29/26,13:00:00,BAL,,Cash balance at the start of business day 29.07 CST,,,,36410.32
7/29/26,21:35:53,TRD,1007373546757,BOT +100 SPY @740.09,,,-74009,-37598.68
7/29/26,21:36:45,TRD,1007373546919,SOLD -100 SPY @740.0701,-1.54,,74007.01,36406.79
7/29/26,21:43:47,TRD,1007374280286,BOT +100 SPY @739.47,,,-73947,-37540.21
7/29/26,21:45:15,TRD,1007374280527,SOLD -100 SPY @739.925,-1.54,,73992.5,36450.75
7/29/26,21:47:02,TRD,1007374280852,BOT +100 SPY @739.535,,,-73953.5,-37502.75
7/29/26,21:50:38,TRD,1007374281626,SOLD -100 SPY @738.495,-1.54,,73849.5,36345.21
7/29/26,21:57:08,TRD,1007374926803,BOT +1 SPY @736.99,,,-736.99,35608.22
7/29/26,21:57:08,TRD,1007374926803,BOT +51 SPY @737.00,,,-37587,-1978.78
7/29/26,21:57:08,TRD,1007374926803,BOT +48 SPY @737.00,,,-35376,-37354.78
7/29/26,21:58:03,TRD,1007374927002,BOT +100 SPY @737.12,,,-73712,-111066.78
7/29/26,22:01:37,TRD,1007374927729,SOLD -100 SPY @737.595,-1.54,,73759.5,-37308.82
7/29/26,22:04:20,TRD,1007375624171,BOT +60 SPY @737.6899,,,-44261.39,-81570.21
7/29/26,22:04:20,TRD,1007375624171,BOT +40 SPY @737.6899,,,-29507.6,-111077.81
7/29/26,22:15:51,TRD,1007376330117,SOLD -100 SPY @735.42,-1.53,,73542,-37537.34
7/29/26,22:17:02,TRD,1007376330292,BOT +100 SPY @735.916,,,-73591.6,-111128.94
7/29/26,22:26:17,TRD,1007376331851,SOLD -100 SPY @734.512,-1.53,,73451.2,-37679.27
7/29/26,22:39:07,TRD,1007376999714,SOLD -42 SPY @735.29,-0.65,,30882.18,-6797.74
7/29/26,22:39:07,TRD,1007376999714,SOLD -58 SPY @735.29,-0.88,,42646.82,35848.2
7/29/26,22:49:13,TRD,1007377747236,BOT +100 SPY @734.125,,,-73412.5,-37564.3
7/29/26,22:51:54,TRD,1007377747628,SOLD -100 SPY @734.4033,-1.53,,73440.33,35874.5
7/29/26,22:52:33,TRD,1007377747705,BOT +50 SPY @734.905,,,-36745.25,-870.75
7/29/26,22:52:33,TRD,1007377747705,BOT +50 SPY @734.905,,,-36745.25,-37616
7/29/26,22:53:45,TRD,1007377747866,SOLD -100 SPY @735.13,-1.53,,73513,35895.47
7/29/26,22:55:48,TRD,1007378424286,BOT +100 SPY @734.825,,,-73482.5,-37587.03
7/29/26,22:58:34,TRD,1007378424748,SOLD -100 SPY @734.7372,-1.53,,73473.72,35885.16
7/29/26,23:02:05,TRD,1007378425402,BOT +100 SPY @735.12,,,-73512,-37626.84
7/29/26,23:02:24,TRD,1007378425458,SOLD -100 SPY @735.3001,-1.53,,73530.01,35901.64
7/29/26,23:05:00,TRD,1007378425839,BOT +100 SPY @735.325,,,-73532.5,-37630.86
7/29/26,23:08:48,TRD,1007378972405,SOLD -100 SPY @735.3805,-1.53,,73538.05,35905.66
7/29/26,23:23:37,TRD,1007379407296,BOT +100 SPY @734.8499,,,-73484.99,-37579.33
7/29/26,23:32:45,TRD,1007379986048,SOLD -100 SPY @734.7736,-1.53,,73477.36,35896.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
