Account Statement for ... since 7/30/26 through 7/31/26,,,,,,,,
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/30/26,13:00:00,BAL,,Cash balance at the start of business day 30.07 CST,,,,36886.66
7/30/26,21:40:28,TRD,1007393024064,SOLD -1 SPY @734.93,-0.02,,734.93,37621.57
7/30/26,21:40:28,TRD,1007393024064,SOLD -40 SPY @734.92,-0.61,,29396.80,67017.76
7/30/26,21:40:28,TRD,1007393024064,SOLD -59 SPY @734.92,-0.90,,43360.28,110377.14
7/30/26,21:42:12,TRD,1007393024455,BOT +100 SPY @735.555,,,-73555.50,36821.64
7/30/26,21:47:02,TRD,1007393025732,SOLD -100 SPY @737.285,-1.54,,73728.50,110548.60
7/30/26,21:48:37,TRD,1007393640149,BOT +100 SPY @737.245,,,-73724.50,36824.10
7/30/26,22:11:37,TRD,1007394807980,BOT +100 SPY @737.555,,,-73755.50,-36931.40
7/30/26,22:12:09,TRD,1007395324107,BOT +100 SPY @738.085,,,-73808.50,-110739.90
7/30/26,22:15:44,TRD,1007395324877,SOLD -100 SPY @737.8372,-1.54,,73783.72,-36957.72
7/30/26,22:18:37,TRD,1007395325503,SOLD -100 SPY @737.475,-1.54,,73747.50,36788.24
7/30/26,23:02:04,TRD,1007397735899,BOT +100 SPY @735.4507,,,-73545.07,-36756.83
7/30/26,23:16:12,TRD,1007398842131,BOT +100 SPY @735.4434,,,-73544.34,-110301.17
7/30/26,23:17:31,TRD,1007398842327,SOLD -100 SPY @735.192,-1.53,,73519.20,-36783.50
7/31/26,00:37:25,TRD,1007402098117,SOLD -100 SPY @738.67,-1.54,,73867.00,37081.96
7/31/26,00:55:50,TRD,1007402099549,BOT +100 SPY @739.0299,,,-73902.99,-36821.03
7/31/26,01:18:46,TRD,1007403017915,SOLD -100 SPY @739.855,-1.54,,73985.50,37162.93
7/31/26,08:11:15,DOI,126773608097,SCHWAB1 INT 06/29-07/29 0.45 US$,,,0.45,37163.38
