Account Statement for ... business day 7/31/26,,,,,,,,
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/31/26,13:00:00,BAL,,Cash balance at the start of business day 31.07 CST,,,,36173.22
7/31/26,16:39:50,DOI,126779764549,STATE STREET SPDR S&P 500 ETF TRUST 5900.9 US$,,,5900.90,42074.12
7/31/26,16:39:51,JRN,126779764550,STATE STREET SPDR S&P 500 ETF TRUST -1770.27 US$,,,-1770.27,40303.85
7/31/26,21:58:17,TRD,1007412581991,BOT +100 SPY @742.4299,,,-74242.99,-33939.14
7/31/26,22:15:51,TRD,1007413875671,BOT +100 SPY @738.50,,,-73850.00,-107789.14
7/31/26,22:18:02,TRD,1007414536229,SOLD -100 SPY @738.61,-1.54,,73861.00,-33929.68
7/31/26,22:19:27,TRD,1007414536546,SOLD -100 SPY @739.2379,-1.54,,73923.79,39992.57
7/31/26,22:21:42,TRD,1007414537078,BOT +100 SPY @739.01,,,-73901.00,-33908.43
7/31/26,22:26:58,TRD,1007415034599,SOLD -100 SPY @739.745,-1.54,,73974.50,40064.53
7/31/26,22:30:10,TRD,1007415035739,SOLD -100 SPY @740.4068,-1.55,,74040.68,114103.66
7/31/26,22:32:46,TRD,1007415388550,BOT +100 SPY @740.416,,,-74041.60,40062.06
7/31/26,22:33:20,TRD,1007415388734,BOT +100 SPY @741.0316,,,-74103.16,-34041.10
7/31/26,23:05:09,TRD,1007417028868,SOLD -40 SPY @742.585,-0.62,,29703.40,-4338.32
7/31/26,23:05:09,TRD,1007417028868,SOLD -60 SPY @742.585,-0.93,,44555.10,40215.85
7/31/26,23:10:41,TRD,1007417388535,BOT +100 SPY @741.97,,,-74197.00,-33981.15
7/31/26,23:11:03,TRD,1007417388643,SOLD -100 SPY @741.77,-1.55,,74177.00,40194.30
7/31/26,23:15:20,TRD,1007417389780,BOT +100 SPY @742.34,,,-74234.00,-34039.70
7/31/26,23:18:15,TRD,1007417700571,BOT +100 SPY @741.6987,,,-74169.87,-108209.57
7/31/26,23:24:58,TRD,1007418052342,SOLD -60 SPY @741.0901,-0.93,,44465.41,-63745.09
7/31/26,23:24:58,TRD,1007418052342,SOLD -40 SPY @741.0901,-0.62,,29643.60,-34102.11
7/31/26,23:25:48,TRD,1007418052550,BOT +100 SPY @740.8492,,,-74084.92,-108187.03
7/31/26,23:51:54,TRD,1007418625775,SOLD -100 SPY @742.4357,-1.55,,74243.57,-33945.01
7/31/26,23:58:37,TRD,1007419390741,SOLD -100 SPY @743.1878,-1.55,,74318.78,40372.22
