Cash Balance
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance
7/31/26,7/31/26,13:00:00,BAL,,Cash balance at the start of business day 31.07 CST,,,,36372.84
7/31/26,7/31/26,16:39:50,DOI,126779764549,STATE STREET SPDR S&P 500 ETF TRUST 5900.9 US$,,,5900.90,42273.74
7/31/26,7/31/26,16:39:51,JRN,126779764550,STATE STREET SPDR S&P 500 ETF TRUST -1770.27 US$,,,-1770.27,40503.47
7/31/26,7/31/26,21:58:17,TRD,1007412581991,BOT +100 SPY @742.4299,,,-74242.99,-33739.52
7/31/26,7/31/26,22:15:51,TRD,1007413875671,BOT +100 SPY @738.50,,,-73850.00,-107589.52
7/31/26,7/31/26,22:18:02,TRD,1007414536229,SOLD -100 SPY @738.61,-1.54,,73861.00,-33730.06
7/31/26,7/31/26,22:19:27,TRD,1007414536546,SOLD -100 SPY @739.2379,-1.54,,73923.79,40192.19
7/31/26,7/31/26,22:21:42,TRD,1007414537078,BOT +100 SPY @739.01,,,-73901.00,-33708.81
7/31/26,7/31/26,22:26:58,TRD,1007415034599,SOLD -100 SPY @739.745,-1.54,,73974.50,40264.15
7/31/26,7/31/26,22:30:10,TRD,1007415035739,SOLD -100 SPY @740.4068,-1.55,,74040.68,114303.28
7/31/26,7/31/26,22:32:46,TRD,1007415388550,BOT +100 SPY @740.416,,,-74041.60,40261.68
7/31/26,7/31/26,22:33:20,TRD,1007415388734,BOT +100 SPY @741.0316,,,-74103.16,-33841.48
7/31/26,7/31/26,23:05:09,TRD,1007417028868,SOLD -40 SPY @742.585,-0.62,,29703.40,-4138.70
7/31/26,7/31/26,23:05:09,TRD,1007417028868,SOLD -60 SPY @742.585,-0.93,,44555.10,40415.47
7/31/26,7/31/26,23:10:41,TRD,1007417388535,BOT +100 SPY @741.97,,,-74197.00,-33781.53
7/31/26,7/31/26,23:11:03,TRD,1007417388643,SOLD -100 SPY @741.77,-1.55,,74177.00,40393.92
7/31/26,7/31/26,23:15:20,TRD,1007417389780,BOT +100 SPY @742.34,,,-74234.00,-33840.08
7/31/26,7/31/26,23:18:15,TRD,1007417700571,BOT +100 SPY @741.6987,,,-74169.87,-108009.95
7/31/26,7/31/26,23:24:58,TRD,1007418052342,SOLD -60 SPY @741.0901,-0.93,,44465.41,-63545.47
7/31/26,7/31/26,23:24:58,TRD,1007418052342,SOLD -40 SPY @741.0901,-0.62,,29643.60,-33902.49
7/31/26,7/31/26,23:25:48,TRD,1007418052550,BOT +100 SPY @740.8492,,,-74084.92,-107987.41
7/31/26,7/31/26,23:51:54,TRD,1007418625775,SOLD -100 SPY @742.4357,-1.55,,74243.57,-33745.39
7/31/26,7/31/26,23:58:37,TRD,1007419390741,SOLD -100 SPY @743.1878,-1.55,,74318.78,40571.84
8/1/26,8/1/26,13:00:00,BAL,,Cash balance at the start of business day 01.08 CST,,,,40571.84
8/2/26,8/2/26,13:00:00,BAL,,Cash balance at the start of business day 02.08 CST,,,,40571.84
8/3/26,8/3/26,13:00:00,BAL,,Cash balance at the start of business day 03.08 CST,,,,40571.84
8/3/26,8/3/26,21:30:17,TRD,1007430129148,SOLD -100 SPY @750.05,-1.57,,75005.00,115575.27
8/4/26,8/4/26,13:00:00,BAL,,Cash balance at the start of business day 04.08 CST,,,,40848.56
8/4/26,8/4/26,21:52:37,TRD,1007452122480,BOT +100 SPY @763.0196,,,-76301.96,-35453.40
8/4/26,8/4/26,21:55:13,TRD,1007452122994,SOLD -100 SPY @763.26,-1.59,,76326.00,40871.01
8/4/26,8/4/26,22:02:51,TRD,1007452956462,BOT +100 SPY @764.03,,,-76403.00,-35531.99
8/4/26,8/4/26,22:03:18,TRD,1007452956550,SOLD -100 SPY @763.9101,-1.59,,76391.01,40857.43
8/4/26,8/4/26,22:05:51,TRD,1007452957009,BOT +100 SPY @764.23,,,-76423.00,-35565.57
8/4/26,8/4/26,22:07:20,TRD,1007452957243,SOLD -100 SPY @764.4001,-1.59,,76440.01,40872.85
8/4/26,8/4/26,22:16:12,TRD,1007453722874,BOT +100 SPY @765.01,,,-76501.00,-35628.15
8/4/26,8/4/26,22:23:18,TRD,1007454488233,SOLD -100 SPY @764.2601,-1.59,,76426.01,40796.27
8/4/26,8/4/26,22:24:14,TRD,1007454488418,BOT +100 SPY @764.5499,,,-76454.99,-35658.72
8/4/26,8/4/26,22:38:24,TRD,1007455170860,SOLD -100 SPY @765.2672,-1.60,,76526.72,40866.40
8/4/26,8/4/26,23:38:36,TRD,1007458400849,BOT +100 SPY @767.90,,,-76790.00,-35923.60
8/4/26,8/4/26,23:43:33,TRD,1007458401466,SOLD -100 SPY @768.12,-1.60,,76812.00,40886.80
