DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/5/26,13:00:00,BAL,,Cash balance at the start of business day 05.08 CST,,,,115851.99
8/5/26,22:12:03,TRD,1007473279788,SOLD -100 SPY @775.9078,-1.62,,77590.78,193441.15
8/5/26,22:21:19,TRD,1007474045313,BOT +100 SPY @775.79,,,-77579.00,115862.15
8/5/26,22:23:23,TRD,1007474045739,SOLD -100 SPY @774.865,-1.62,,77486.50,193347.03
8/5/26,22:24:31,TRD,1007474045953,BOT +100 SPY @775.5899,,,-77558.99,115788.04
8/5/26,22:30:50,TRD,1007474709086,SOLD -100 SPY @774.405,-1.62,,77440.50,193226.92
8/5/26,22:32:39,TRD,1007474709467,BOT +60 SPY @774.39,,,-46463.40,146763.52
8/5/26,22:32:39,TRD,1007474709467,BOT +40 SPY @774.39,,,-30975.60,115787.92
8/5/26,22:34:49,TRD,1007474709867,SOLD -100 SPY @774.58,-1.62,,77458.00,193244.30
8/5/26,22:35:42,TRD,1007474709995,BOT +100 SPY @774.735,,,-77473.50,115770.80
8/5/26,22:49:05,TRD,1007475349961,BOT +100 SPY @774.425,,,-77442.50,38328.30
8/5/26,22:49:54,TRD,1007476066109,SOLD -100 SPY @774.6401,-1.62,,77464.01,115790.69
8/5/26,22:55:13,TRD,1007476066833,SOLD -100 SPY @772.7751,-1.61,,77277.51,193066.59
8/5/26,22:55:54,TRD,1007476066918,BOT +60 SPY @772.89,,,-46373.40,146693.19
8/5/26,22:55:54,TRD,1007476066918,BOT +40 SPY @772.89,,,-30915.60,115777.59
8/5/26,22:58:21,TRD,1007476067227,SOLD -100 SPY @773.4704,-1.61,,77347.04,193123.02
8/5/26,22:58:51,TRD,1007476067282,BOT +100 SPY @773.155,,,-77315.50,115807.52
8/5/26,23:01:03,TRD,1007476067532,BOT +100 SPY @773.855,,,-77385.50,38422.02
8/5/26,23:07:20,TRD,1007476882169,SOLD -100 SPY @773.6808,-1.61,,77368.08,115788.49
8/5/26,23:13:30,TRD,1007476882866,SOLD -100 SPY @773.1454,-1.61,,77314.54,193101.42
8/5/26,23:13:58,TRD,1007476882916,BOT +40 SPY @773.05,,,-30922.00,162179.42
8/5/26,23:13:58,TRD,1007476882916,BOT +60 SPY @773.05,,,-46383.00,115796.42
8/5/26,23:15:57,TRD,1007476883135,SOLD -100 SPY @772.58,-1.61,,77258.00,193052.81
8/5/26,23:16:27,TRD,1007476883215,BOT +100 SPY @772.425,,,-77242.50,115810.31
8/5/26,23:17:10,TRD,1007476883277,SOLD -100 SPY @772.485,-1.61,,77248.50,193057.20
8/5/26,23:17:34,TRD,1007476883311,BOT +100 SPY @772.255,,,-77225.50,115831.70
8/5/26,23:44:19,TRD,1007478536198,SOLD -100 SPY @771.8756,-1.61,,77187.56,193017.65
8/5/26,23:45:19,TRD,1007478536271,BOT +100 SPY @771.759,,,-77175.90,115841.75
