DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/6/26,13:00:00,BAL,,Cash balance at the start of business day 06.08 CST,,,,115890.23
8/6/26,22:08:06,TRD,1007491644849,BOT +100 SPY @771.335,,,-77133.50,38756.73
8/6/26,22:10:00,TRD,1007491645194,SOLD -100 SPY @771.4501,-1.61,,77145.01,115900.13
8/6/26,22:11:00,TRD,1007491645449,BOT +3 SPY @771.51,,,-2314.53,113585.60
8/6/26,22:11:00,TRD,1007491645449,BOT +8 SPY @771.519,,,-6172.15,107413.45
8/6/26,22:11:00,TRD,1007491645449,BOT +89 SPY @771.5199,,,-68665.27,38748.18
8/6/26,22:13:20,TRD,1007491645973,SOLD -100 SPY @771.585,-1.61,,77158.50,115905.07
8/6/26,22:17:55,TRD,1007492216818,BOT +100 SPY @771.569,,,-77156.90,38748.17
8/6/26,22:18:59,TRD,1007492217007,SOLD -100 SPY @771.7601,-1.61,,77176.01,115922.57
8/6/26,22:22:36,TRD,1007492217693,BOT +100 SPY @771.755,,,-77175.50,38747.07
8/6/26,22:28:04,TRD,1007492854683,SOLD -100 SPY @770.375,-1.61,,77037.50,115782.96
8/6/26,22:29:03,TRD,1007492854831,BOT +100 SPY @770.30,,,-77030.00,38752.96
8/6/26,22:30:06,TRD,1007492855061,SOLD -100 SPY @770.465,-1.61,,77046.50,115797.85
8/6/26,22:30:32,TRD,1007492855174,BOT +100 SPY @770.785,,,-77078.50,38719.35
8/6/26,22:35:45,TRD,1007492855935,SOLD -100 SPY @770.805,-1.61,,77080.50,115798.24
8/6/26,22:43:39,TRD,1007493505179,SOLD -100 SPY @770.5081,-1.61,,77050.81,192847.44
8/6/26,22:45:33,TRD,1007493505503,BOT +100 SPY @769.866,,,-76986.60,115860.84
8/6/26,22:50:54,TRD,1007494176276,SOLD -100 SPY @769.855,-1.61,,76985.50,192844.73
8/6/26,22:52:05,TRD,1007494176399,BOT +100 SPY @769.8199,,,-76981.99,115862.74
8/6/26,22:53:42,TRD,1007494176601,SOLD -100 SPY @770.02,-1.61,,77002.00,192863.13
8/6/26,22:54:50,TRD,1007494176781,BOT +100 SPY @770.405,,,-77040.50,115822.63
8/6/26,22:55:18,TRD,1007494176837,SOLD -100 SPY @770.445,-1.61,,77044.50,192865.52
8/6/26,22:55:37,TRD,1007494176891,BOT +100 SPY @770.329,,,-77032.90,115832.62
8/6/26,23:01:26,TRD,1007494177760,SOLD -100 SPY @770.845,-1.61,,77084.50,192915.51
8/6/26,23:02:19,TRD,1007494177847,BOT +100 SPY @770.90,,,-77090.00,115825.51
8/6/26,23:05:36,TRD,1007494836294,BOT +40 SPY @770.3061,,,-30812.24,85013.27
8/6/26,23:05:36,TRD,1007494836294,BOT +4 SPY @770.3061,,,-3081.23,81932.04
8/6/26,23:05:36,TRD,1007494836294,BOT +56 SPY @770.3061,,,-43137.14,38794.90
8/6/26,23:06:06,TRD,1007494836365,SOLD -100 SPY @770.407,-1.61,,77040.70,115833.99
8/6/26,23:06:55,TRD,1007494836446,BOT +100 SPY @770.5095,,,-77050.95,38783.04
8/6/26,23:08:19,TRD,1007494836572,SOLD -100 SPY @770.782,-1.61,,77078.20,115859.63
8/6/26,23:09:30,TRD,1007494836772,BOT +100 SPY @770.56,,,-77056.00,38803.63
8/6/26,23:10:02,TRD,1007494836817,SOLD -100 SPY @770.56,-1.61,,77056.00,115858.02
8/6/26,23:16:59,TRD,1007494837597,BOT +100 SPY @770.049,,,-77004.90,38853.12
8/6/26,23:17:46,TRD,1007494837726,SOLD -100 SPY @769.585,-1.61,,76958.50,115810.01
8/6/26,23:19:01,TRD,1007494837937,BOT +100 SPY @769.305,,,-76930.50,38879.51
8/6/26,23:59:06,TRD,1007496813195,SOLD -100 SPY @768.28,-1.60,,76828.00,115705.91
8/7/26,00:00:21,TRD,1007496813274,BOT +100 SPY @768.255,,,-76825.50,38880.41
8/7/26,00:28:02,TRD,1007497677243,SOLD -100 SPY @768.2201,-1.60,,76822.01,115700.82
