TRD rows transcribed from Account Statement screenshot (logs/screenshot_2026-06-26.png), Cash Balance section:

Trade Date | Exec Date | Exec Time | Type | Ref # | Description | Misc Fees | Comm & Fees | Amount | Balance
6/21/26 | 6/21/26 | 13:00:00 | BAL | -- | Cash balance at the start of business day 21.06 CST | -- | -- | -- | 36,959.65
6/22/26 | 6/22/26 | 13:00:00 | BAL | -- | Cash balance at the start of business day 22.06 CST | -- | -- | -- | 36,959.65
6/22/26 | 6/22/26 | 21:47:52 | TRD | 1006838748916 | SOLD -40 SPY @749.09 | -0.63 | -- | 29,963.60 | 66,922.62
6/22/26 | 6/22/26 | 21:47:52 | TRD | 1006838748916 | SOLD -20 SPY @749.09 | -0.31 | -- | 14,981.80 | 81,904.11
6/22/26 | 6/22/26 | 21:47:52 | TRD | 1006838748916 | SOLD -40 SPY @749.0801 | -0.62 | -- | 29,963.20 | 111,866.69
6/22/26 | 6/22/26 | 21:55:28 | TRD | 1006839243469 | BOT +100 SPY @749.065 | -- | -- | -74,906.50 | 36,960.19
6/22/26 | 6/22/26 | 22:08:41 | TRD | 1006840241332 | BOT +100 SPY @749.76 | -- | -- | -74,976.00 | -38,015.81
6/22/26 | 6/22/26 | 22:09:14 | TRD | 1006840241455 | SOLD -100 SPY @749.9201 | -1.56 | -- | 74,992.01 | 36,974.64
6/22/26 | 6/22/26 | 22:48:22 | TRD | 1006843251302 | BOT +100 SPY @744.8677 | -- | -- | -74,486.77 | -37,512.13
6/22/26 | 6/22/26 | 22:54:40 | TRD | 1006843820812 | SOLD -100 SPY @743.70 | -1.55 | -- | 74,370.00 | 36,856.32
6/22/26 | 6/22/26 | 23:12:04 | TRD | 1006844773345 | BOT +100 SPY @744.7685 | -- | -- | -74,476.85 | -37,620.53
6/22/26 | 6/22/26 | 23:12:54 | TRD | 1006844773519 | SOLD -100 SPY @744.755 | -1.55 | -- | 74,475.50 | 36,853.42
6/22/26 | 6/22/26 | 23:15:10 | TRD | 1006845318020 | BOT +100 SPY @744.43 | -- | -- | -74,443.00 | -37,589.58
6/22/26 | 6/22/26 | 23:16:08 | TRD | 1006845318298 | SOLD -100 SPY @744.4301 | -1.55 | -- | 74,443.01 | 36,851.88
6/22/26 | 6/22/26 | 23:20:16 | TRD | 1006845319616 | BOT +100 SPY @744.175 | -- | -- | -74,417.50 | -37,565.62
6/22/26 | 6/22/26 | 23:24:04 | TRD | 1006845678814 | SOLD -100 SPY @744.9008 | -1.55 | -- | 74,490.08 | 36,922.91
6/23/26 | 6/23/26 | 00:38:36 | TRD | 1006849612315 | BOT +100 SPY @744.335 | -- | -- | -74,433.50 | -37,510.59
6/23/26 | 6/23/26 | 01:03:53 | TRD | 1006850690653 | SOLD -100 SPY @744.98 | -1.55 | -- | 74,498.00 | 36,985.86
6/23/26 | 6/23/26 | 13:00:00 | BAL | -- | Cash balance at the start of business day 23.06 CST | -- | -- | -- | 36,985.86
6/23/26 | 6/23/26 | 22:01:30 | TRD | 1006862480436 | BOT +20 SPY @737.98 | -- | -- | -14,759.60 | 22,226.26
6/23/26 | 6/23/26 | 22:01:30 | TRD | 1006862480436 | BOT +1 SPY @737.98 | -- | -- | -737.98 | 21,488.28
6/23/26 | 6/23/26 | 22:01:30 | TRD | 1006862480436 | BOT +79 SPY @737.9899 | -- | -- | -58,301.20 | -36,812.92
6/23/26 | 6/23/26 | 22:02:35 | TRD | 1006862480942 | SOLD -100 SPY @738.1688 | -1.54 | -- | 73,816.88 | 37,002.42
6/23/26 | 6/23/26 | 22:12:30 | TRD | 1006863205143 | BOT +100 SPY @738.723 | -- | -- | -73,872.30 | -36,869.88
6/23/26 | 6/23/26 | 22:14:05 | TRD | 1006863205717 | SOLD -100 SPY @738.875 | -1.54 | -- | 73,887.50 | 37,016.08
6/23/26 | 6/23/26 | 22:26:51 | TRD | 1006864051543 | BOT +100 SPY @738.4288 | -- | -- | -73,842.88 | -36,826.80
6/23/26 | 6/23/26 | 22:28:37 | TRD | 1006864582022 | SOLD -3 SPY @738.34 | -0.05 | -- | 2,215.02 | -34,611.83
6/23/26 | 6/23/26 | 22:28:37 | TRD | 1006864582022 | SOLD -97 SPY @738.3301 | -1.49 | -- | 71,618.02 | 37,004.70
6/23/26 | 6/23/26 | 22:31:05 | TRD | 1006864582825 | BOT +100 SPY @738.4473 | -- | -- | -73,844.73 | -36,840.03
6/23/26 | 6/23/26 | 22:49:11 | TRD | 1006865848474 | SOLD -100 SPY @737.4201 | -1.54 | -- | 73,742.01 | 36,900.44
6/23/26 | 6/23/26 | 22:54:45 | TRD | 1006865849861 | BOT +100 SPY @736.95 | -- | -- | -73,695.00 | -36,794.56
6/23/26 | 6/23/26 | 23:15:33 | TRD | 1006867350990 | BOT +100 SPY @735.905 | -- | -- | -73,590.50 | -110,385.06
6/23/26 | 6/23/26 | 23:50:49 | TRD | 1006869436153 | SOLD -40 SPY @735.325 | -0.62 | -- | 29,413.00 | -80,972.68
6/23/26 | 6/23/26 | 23:50:49 | TRD | 1006869436153 | SOLD -60 SPY @735.3201 | -0.91 | -- | 44,119.21 | -36,854.38
6/24/26 | 6/24/26 | 00:36:34 | TRD | 1006871393276 | SOLD -40 SPY @737.405 | -0.62 | -- | 29,496.20 | -7,358.80
6/24/26 | 6/24/26 | 00:36:34 | TRD | 1006871393276 | SOLD -40 SPY @737.405 | -0.62 | -- | 29,496.20 | 22,136.78
6/24/26 | 6/24/26 | 00:36:34 | TRD | 1006871393276 | SOLD -10 SPY @737.405 | -0.15 | -- | 7,374.05 | 29,510.68
6/24/26 | 6/24/26 | 00:36:34 | TRD | 1006871393276 | SOLD -10 SPY @737.4001 | -0.15 | -- | 7,374.00 | 36,884.53
6/24/26 | 6/24/26 | 00:41:34 | TRD | 1006871393875 | BOT +100 SPY @737.8499 | -- | -- | -73,784.99 | -36,900.46
6/24/26 | 6/24/26 | 00:44:24 | TRD | 1006871998230 | SOLD -100 SPY @737.8344 | -1.54 | -- | 73,783.44 | 36,881.44
6/24/26 | 6/24/26 | 02:31:06 | TRD | 1006876030912 | BOT +40 SPY @735.32 | -- | -- | -29,412.80 | 7,468.64
6/24/26 | 6/24/26 | 02:31:06 | TRD | 1006876030912 | BOT +60 SPY @735.3299 | -- | -- | -44,119.79 | -36,651.15
6/24/26 | 6/24/26 | 02:36:12 | TRD | 1006876031495 | SOLD -100 SPY @735.01 | -1.53 | -- | 73,501.00 | 36,848.32
6/24/26 | 6/24/26 | 13:00:00 | BAL | -- | Cash balance at the start of business day 24.06 CST | -- | -- | -- | 36,848.32
6/24/26 | 6/24/26 | 21:46:52 | TRD | 1006882453679 | SOLD -100 SPY @735.8106 | -1.54 | -- | 73,581.06 | 110,427.84
6/24/26 | 6/24/26 | 21:48:20 | TRD | 1006882838176 | BOT +100 SPY @734.87 | -- | -- | -73,487.00 | 36,940.84
6/24/26 | 6/24/26 | 21:49:04 | TRD | 1006882838469 | BOT +100 SPY @734.51 | -- | -- | -73,451.00 | -36,510.16
6/24/26 | 6/24/26 | 21:49:37 | TRD | 1006882838640 | SOLD -100 SPY @734.9101 | -1.53 | -- | 73,491.01 | 36,979.32
6/24/26 | 6/24/26 | 21:50:24 | TRD | 1006882838880 | BOT +100 SPY @736.105 | -- | -- | -73,610.50 | -36,631.18
6/24/26 | 6/24/26 | 21:50:45 | TRD | 1006882838994 | SOLD -100 SPY @736.5601 | -1.54 | -- | 73,656.01 | 37,023.29
6/24/26 | 6/24/26 | 21:52:43 | TRD | 1006882839810 | SOLD -100 SPY @737.485 | -1.54 | -- | 73,748.50 | 110,770.25
6/24/26 | 6/24/26 | 21:54:24 | TRD | 1006883338437 | BOT +100 SPY @737.4976 | -- | -- | -73,749.76 | 37,020.49
6/24/26 | 6/24/26 | 21:59:51 | TRD | 1006883790210 | BOT +2 SPY @735.98 | -- | -- | -1,471.96 | 35,548.53
6/24/26 | 6/24/26 | 21:59:51 | TRD | 1006883790210 | BOT +58 SPY @735.99 | -- | -- | -42,687.42 | -7,138.89
6/24/26 | 6/24/26 | 21:59:51 | TRD | 1006883790210 | BOT +40 SPY @735.99 | -- | -- | -29,439.60 | -36,578.49
6/24/26 | 6/24/26 | 22:10:44 | TRD | 1006884301465 | SOLD -100 SPY @736.1894 | -1.54 | -- | 73,618.94 | 37,038.91
6/24/26 | 6/24/26 | 22:20:57 | TRD | 1006885181042 | BOT +100 SPCX @155.78 | -- | -- | -15,578.00 | 21,460.91

(Additional rows for 6/24 evening and 6/25-6/26 are visible in CSV; OCR truncated to fit transcribable visible rows.)

Validation: 81 TRD rows in Cash Balance section, all pass qty*price�s(amount) within $0.02 tolerance (max diff $0.004).
Date range: 6/21/26 through 6/25/26 (5-day range confirmed).
